"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Rajon Rondo";"Rajon Rondo";"1986-02-22";"1986-02-22";"Louisville";"louisville"
"Rajon Rondo";"Rajon Rondo";"1986-02-22";"1986-02-22";"Louisville";"louisville"
"Rajon Rondo";"Rajon Rondo";"1986-02-22";"1986-02-22";"Louisville";"louisville"
"Kris Humphries";"Kris Humphries";"1985-02-06";"1985-02-06";"Minneapolis";"chaska"
"Kris Humphries";"Kris Humphries";"1985-02-06";"1985-02-06";"Minneapolis";"chaska"
"Kris Humphries";"Kris Humphries";"1985-02-06";"1985-02-06";"Minneapolis";"chaska"
"Patrick Patterson";"Patrick Patterson";"1989-03-14";"1989-03-14";"Washington, D.C.";"washington"
"Patrick Patterson";"Patrick Patterson";"1989-03-14";"1989-03-14";"Washington, D.C.";"washington"
"Dwyane Wade";"Dwyane Wade";"1982-01-17";"1982-01-17";"Chicago";"chicago"
"Dwyane Wade";"Dwyane Wade";"1982-01-17";"1982-01-17";"Chicago";"chicago"
"Dwyane Wade";"Dwyane Wade";"1982-01-17";"1982-01-17";"Chicago";"chicago"
"Jason Collins";"Jason Collins";"1978-12-02";"1978-12-02";"Northridge";"northridge"
"Jason Collins";"Jason Collins";"1978-12-02";"1978-12-02";"Northridge";"northridge"
"Jason Collins";"Jason Collins";"1978-12-02";"1978-12-02";"Northridge";"northridge"
"Marquis Teague";"Marquis Teague";"1993-02-28";"1993-02-28";"Indianapolis";"indianapolis"
"Marquis Teague";"Marquis Teague";"1993-02-28";"1993-02-28";"Indianapolis";"indianapolis"
"Marquis Teague";"Marquis Teague";"1993-02-28";"1993-02-28";"Indianapolis";"indianapolis"
"Alan Anderson";"Alan Anderson";"1982-10-16";"1982-10-16";"Minneapolis";"minneapolis"
"Alan Anderson";"Alan Anderson";"1982-10-16";"1982-10-16";"Minneapolis";"minneapolis"
"Alan Anderson";"Alan Anderson";"1982-10-16";"1982-10-16";"Minneapolis";"minneapolis"
"Andray Blatche";"Andray Blatche";"1986-08-22";"1986-08-22";"Syracuse";"syracuse"
"Andray Blatche";"Andray Blatche";"1986-08-22";"1986-08-22";"Syracuse";"syracuse"
"Andray Blatche";"Andray Blatche";"1986-08-22";"1986-08-22";"Syracuse";"syracuse"
"Mirza Teletovi?";"Mirza Teletovic";"1985-09-17";"1985-09-17";"Mostar";"yugoslavia"
"Mirza Teletovi?";"Mirza Teletovic";"1985-09-17";"1985-09-17";"Mostar";"yugoslavia"
"Mirza Teletovi?";"Mirza Teletovic";"1985-09-17";"1985-09-17";"Mostar";"yugoslavia"
"Andrei Kirilenko";"Andrei Kirilenko";"1981-02-18";"1981-02-18";"Izhevsk";
"Andrei Kirilenko";"Andrei Kirilenko";"1981-02-18";"1981-02-18";"Izhevsk";
"Andrei Kirilenko";"Andrei Kirilenko";"1981-02-18";"1981-02-18";"Izhevsk";
"Joe Johnson";"Joe Johnson";"1981-06-29";"1981-06-29";"Little Rock";"littlerock"
"Marcus Thornton";"Marcus Thornton";"1987-06-05";"1987-06-05";"Baton Rouge";"batonrouge"
"Joe Johnson";"Joe Johnson";"1981-06-29";"1981-06-29";"Little Rock";"littlerock"
"Marcus Thornton";"Marcus Thornton";"1987-06-05";"1987-06-05";"Baton Rouge";"batonrouge"
"Joe Johnson";"Joe Johnson";"1981-06-29";"1981-06-29";"Little Rock";"littlerock"
"Marcus Thornton";"Marcus Thornton";"1987-06-05";"1987-06-05";"Baton Rouge";"batonrouge"
"Kevin Garnett";"Kevin Garnett";"1976-05-19";"1976-05-19";"Greenville";"mauldin"
"Kevin Garnett";"Kevin Garnett";"1976-05-19";"1976-05-19";"Greenville";"mauldin"
"Kevin Garnett";"Kevin Garnett";"1976-05-19";"1976-05-19";"Greenville";"mauldin"
"Deron Williams";"Deron Williams";"1984-06-26";"1984-06-26";"Parkersburg";"parkersburg"
"Deron Williams";"Deron Williams";"1984-06-26";"1984-06-26";"Parkersburg";"parkersburg"
"Deron Williams";"Deron Williams";"1984-06-26";"1984-06-26";"Parkersburg";"parkersburg"
"Greivis Vásquez";"Greivis Vasquez";"1987-01-16";"1987-01-16";"Caracas";"venezuela"
"Greivis Vásquez";"Greivis Vasquez";"1987-01-16";"1987-01-16";"Caracas";"venezuela"
"Greivis Vásquez";"Greivis Vasquez";"1987-01-16";"1987-01-16";"Caracas";"venezuela"
